path	git_last_commit_iso	mtime
.env	2026-01-01 17:18:15 +0800	2025-12-31T16:24:23.730Z
.gitignore	2025-12-28 14:50:42 +0800	2025-12-21T07:30:12.000Z
.vscode/extensions.json	2025-12-28 14:50:42 +0800	2025-12-21T07:30:12.000Z
GOVERNANCE_UI_AUDIT_REPORT.md	2026-01-01 17:18:15 +0800	2026-01-01T04:05:09.056Z
IMPLEMENTATION_REPORT.md	2026-01-01 17:18:15 +0800	2025-12-29T05:07:10.408Z
PATCH_PLAN.md	2026-01-01 17:18:15 +0800	2026-01-01T09:40:07.648Z
PRODUCT_ANALYSIS_REPORT.md	2026-01-01 17:18:15 +0800	2026-01-01T09:40:07.658Z
README.md	2025-12-28 14:50:42 +0800	2025-12-21T07:30:12.000Z
ROOT_CAUSE.md	2026-01-01 17:18:15 +0800	2026-01-01T09:40:07.674Z
ROOT_CAUSE_MIN.md	2026-01-01 17:18:15 +0800	2026-01-01T09:40:07.634Z
VERIFICATION_REPORT.md	2026-01-01 17:18:15 +0800	2026-01-01T09:40:07.629Z
WORKFLOW_ROLES_AND_RECOMMENDATIONS.md	2026-01-01 17:18:15 +0800	2026-01-01T09:40:07.629Z
_governance/cleanup_phase2/CANON_KEEP_SUGGESTION.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:08:35.309Z
_governance/cleanup_phase2/HEAD_before.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:08:35.142Z
_governance/cleanup_phase2/delete_count.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:08:35.151Z
_governance/cleanup_phase2/delete_paths.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:08:35.148Z
_governance/cleanup_phase2/delete_references.tsv	2026-01-01 17:18:15 +0800	2026-01-01T09:08:35.297Z
_governance/cleanup_phase2/git_diff_stat.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:08:36.975Z
_governance/cleanup_phase2/git_status_after.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:08:36.929Z
_governance/cleanup_phase2/git_status_before.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:08:35.127Z
_governance/cleanup_phase2/legacy_reference_hits.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:08:35.197Z
_governance/cleanup_phase2/postdelete_legacy_refs.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:08:35.333Z
_governance/cleanup_phase3/KEEP_FINAL.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:18:11.735Z
_governance/cleanup_phase3/delete_paths.blocked_by_keep.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:18:11.790Z
_governance/cleanup_phase3/delete_paths.filtered.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:18:11.790Z
_governance/cleanup_phase3/delete_paths.raw.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:18:11.790Z
_governance/cleanup_phase3/git_diff_stat.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:18:15.018Z
_governance/cleanup_phase3/git_status_porcelain.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:18:15.040Z
_governance/cleanup_phase3/postdelete_legacy_refs.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:18:13.191Z
_governance/cleanup_phase3/predelete_refs.txt	2026-01-01 17:18:15 +0800	2026-01-01T09:18:12.227Z
_governance/cleanup_report/DELETE_CANDIDATES.txt	2026-01-01 17:18:15 +0800	2026-01-01T08:56:41.465Z
